municipio,sigla_uf,ano,area_km2
Abaetetuba,PA,2020,1.238
Abaetetuba,PA,2021,1.777
Abaetetuba,PA,2022,0.407
Abaetetuba,PA,2023,0.314
Abaetetuba,PA,2024,0.603
Abel Figueiredo,PA,2020,1.246
Abel Figueiredo,PA,2021,1.952
Abel Figueiredo,PA,2022,2.785
Abel Figueiredo,PA,2023,1.631
Abel Figueiredo,PA,2024,0.175
Abreulândia,TO,2020,0.171
Abreulândia,TO,2022,0.069
Acará,PA,2020,15.668
Acará,PA,2021,10.224
Acará,PA,2022,5.711
Acará,PA,2023,8.365
Acará,PA,2024,12.612
Acrelândia,AC,2020,12.94
Acrelândia,AC,2021,38.13
Acrelândia,AC,2022,18.451
Acrelândia,AC,2023,12.054
Acrelândia,AC,2024,9.948
Afuá,PA,2022,0.165
Afuá,PA,2023,0.272
Afuá,PA,2024,0.603
Aguiarnópolis,TO,2021,0.611
Aguiarnópolis,TO,2022,0.817
Aguiarnópolis,TO,2024,0.855
Alcântara,MA,2021,0.158
Alenquer,PA,2020,32.802
Alenquer,PA,2021,31.644
Alenquer,PA,2022,28.729
Alenquer,PA,2023,22.411
Alenquer,PA,2024,34.819
Almeirim,PA,2020,24.893
Almeirim,PA,2021,31.744
Almeirim,PA,2022,18.713
Almeirim,PA,2023,23.048
Almeirim,PA,2024,44.077
Alta Floresta,MT,2020,16.98
Alta Floresta,MT,2021,14.535
Alta Floresta,MT,2022,16.334
Alta Floresta,MT,2023,12.545
Alta Floresta,MT,2024,7.545
Alta Floresta D'Oeste,RO,2020,25.2
Alta Floresta D'Oeste,RO,2021,25.094
Alta Floresta D'Oeste,RO,2022,24.151
Alta Floresta D'Oeste,RO,2023,14.734
Alta Floresta D'Oeste,RO,2024,6.981
Altamira,PA,2020,802.301
Altamira,PA,2021,765.45
Altamira,PA,2022,630.106
Altamira,PA,2023,319.798
Altamira,PA,2024,167.733
Alto Alegre,RR,2020,35.857
Alto Alegre,RR,2021,12.127
Alto Alegre,RR,2022,24.033
Alto Alegre,RR,2023,12.287
Alto Alegre,RR,2024,25.269
Alto Alegre do Maranhão,MA,2020,0.072
Alto Alegre do Maranhão,MA,2021,0.07
Alto Alegre do Maranhão,MA,2022,0.063
Alto Alegre do Maranhão,MA,2023,0.114
Alto Alegre do Maranhão,MA,2024,0.379
Alto Alegre do Pindaré,MA,2020,0.414
Alto Alegre do Pindaré,MA,2022,0.364
Alto Alegre do Pindaré,MA,2023,0.078
Alto Alegre do Pindaré,MA,2024,0.279
Alto Alegre dos Parecis,RO,2020,12.831
Alto Alegre dos Parecis,RO,2021,12.33
Alto Alegre dos Parecis,RO,2022,6.183
Alto Alegre dos Parecis,RO,2023,4.924
Alto Alegre dos Parecis,RO,2024,1.905
Alto Boa Vista,MT,2020,1.452
Alto Boa Vista,MT,2021,15.595
Alto Boa Vista,MT,2022,4.859
Alto Boa Vista,MT,2023,0.698
Alto Boa Vista,MT,2024,9.797
Alto Paraguai,MT,2021,0.102
Alto Paraguai,MT,2023,0.096
Alto Paraíso,RO,2020,41.625
Alto Paraíso,RO,2021,28.745
Alto Paraíso,RO,2022,21.047
Alto Paraíso,RO,2023,14.991
Alto Paraíso,RO,2024,3.154
Alvarães,AM,2020,5.361
Alvarães,AM,2021,7.335
Alvarães,AM,2022,1.417
Alvarães,AM,2023,6.023
Alvarães,AM,2024,7.922
Alvorada D'Oeste,RO,2020,1.82
Alvorada D'Oeste,RO,2021,2.044
Alvorada D'Oeste,RO,2022,0.557
Alvorada D'Oeste,RO,2023,1.162
Alvorada D'Oeste,RO,2024,1.267
Amajari,RR,2020,15.055
Amajari,RR,2021,10.955
Amajari,RR,2022,18.578
Amajari,RR,2023,9.816
Amajari,RR,2024,53.634
Amapá,AP,2024,0.221
Amapá do Maranhão,MA,2020,1.664
Amapá do Maranhão,MA,2021,1.223
Amapá do Maranhão,MA,2022,1.002
Amapá do Maranhão,MA,2023,7.952
Amapá do Maranhão,MA,2024,0.713
Amarante do Maranhão,MA,2020,6.718
Amarante do Maranhão,MA,2021,12.112
Amarante do Maranhão,MA,2022,10.008
Amarante do Maranhão,MA,2023,7.27
Amarante do Maranhão,MA,2024,4.73
Amaturá,AM,2020,0.156
Amaturá,AM,2021,0.531
Amaturá,AM,2022,0.072
Amaturá,AM,2023,1.159
Amaturá,AM,2024,6.992
Anajatuba,MA,2020,0.41
Anajatuba,MA,2021,0.117
Anajatuba,MA,2024,0.145
Anajás,PA,2020,0.895
Anajás,PA,2021,0.972
Anajás,PA,2022,0.133
Anajás,PA,2023,0.197
Anajás,PA,2024,0.146
Anamã,AM,2020,0.655
Anamã,AM,2021,1.753
Anamã,AM,2022,0.287
Anamã,AM,2023,1.009
Anamã,AM,2024,0.202
Ananás,TO,2020,5.204
Ananás,TO,2021,0.62
Ananás,TO,2022,0.533
Ananás,TO,2023,0.552
Anapu,PA,2020,107.56
Anapu,PA,2021,131.827
Anapu,PA,2022,108.911
Anapu,PA,2023,95.781
Anapu,PA,2024,56.84
Angico,TO,2020,0.227
Angico,TO,2022,0.084
Anori,AM,2020,0.32
Anori,AM,2021,0.389
Anori,AM,2022,0.218
Anori,AM,2023,0.265
Anori,AM,2024,0.182
Apiacás,MT,2020,51.822
Apiacás,MT,2021,99.071
Apiacás,MT,2022,79.117
Apiacás,MT,2023,64.443
Apiacás,MT,2024,18.676
Apicum-Açu,MA,2020,0.07
Apuí,AM,2020,258.674
Apuí,AM,2021,329.805
Apuí,AM,2022,751.937
Apuí,AM,2023,231.377
Apuí,AM,2024,115.629
Aragominas,TO,2020,1.598
Aragominas,TO,2021,0.935
Aragominas,TO,2022,1.713
Aragominas,TO,2023,0.772
Aragominas,TO,2024,0.421
Araguacema,TO,2020,0.273
Araguacema,TO,2021,0.33
Araguacema,TO,2022,1.115
Araguacema,TO,2023,0.897
Araguacema,TO,2024,0.398
Araguaiana,MT,2021,0.131
Araguaiana,MT,2023,0.077
Araguaiana,MT,2024,0.265
Araguanã,MA,2020,0.172
Araguanã,TO,2020,0.238
Araguanã,TO,2022,0.414
Araguanã,TO,2023,0.106
Araguatins,TO,2020,1.53
Araguatins,TO,2021,3.909
Araguatins,TO,2022,3.561
Araguatins,TO,2023,4.763
Araguatins,TO,2024,2.174
Araguaína,TO,2020,0.304
Araguaína,TO,2021,1.292
Araguaína,TO,2022,1.706
Araguaína,TO,2023,1.456
Araguaína,TO,2024,0.777
Arame,MA,2020,22.412
Arame,MA,2021,15.97
Arame,MA,2022,18.773
Arame,MA,2023,29.137
Arame,MA,2024,11.851
Arapoema,TO,2020,0.07
Arapoema,TO,2021,0.146
Arapoema,TO,2022,0.272
Arapoema,TO,2023,0.25
Arapoema,TO,2024,0.718
Araputanga,MT,2020,8.954
Araputanga,MT,2021,2.966
Araputanga,MT,2022,0.765
Arari,MA,2020,1.853
Arari,MA,2021,0.181
Arari,MA,2022,0.753
Arari,MA,2023,0.458
Arari,MA,2024,0.459
Arenápolis,MT,2020,0.082
Arenápolis,MT,2021,0.276
Aripuanã,MT,2020,142.428
Aripuanã,MT,2021,168.828
Aripuanã,MT,2022,130.063
Aripuanã,MT,2023,92.722
Aripuanã,MT,2024,67.882
Ariquemes,RO,2020,22.496
Ariquemes,RO,2021,14.521
Ariquemes,RO,2022,11.729
Ariquemes,RO,2023,13.057
Ariquemes,RO,2024,1.998
Assis Brasil,AC,2020,18.275
Assis Brasil,AC,2021,17.662
Assis Brasil,AC,2022,8.417
Assis Brasil,AC,2023,7.444
Assis Brasil,AC,2024,6.166
Atalaia do Norte,AM,2020,0.996
Atalaia do Norte,AM,2021,1.739
Atalaia do Norte,AM,2022,2.035
Atalaia do Norte,AM,2023,1.645
Atalaia do Norte,AM,2024,1.287
Augustinópolis,TO,2020,0.112
Augustinópolis,TO,2021,0.075
Augustinópolis,TO,2022,0.402
Augustinópolis,TO,2023,0.125
Augusto Corrêa,PA,2023,0.306
Aurora do Pará,PA,2020,3.099
Aurora do Pará,PA,2021,2.593
